,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
869,0.056660032,0.007472847,0.003526831,0.006103401,300,300,400,"{'max_depth': 300, 'max_leaf_nodes': 300, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
725,0.059218931,0.009048466,0.000399733,0.000799465,200,50,400,"{'max_depth': 200, 'max_leaf_nodes': 50, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
716,0.05302496,0.009094383,0.000399637,0.000799274,200,40,400,"{'max_depth': 200, 'max_leaf_nodes': 40, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
131,0.056304598,0.00697089,0.000199795,0.00039959,10,50,400,"{'max_depth': 10, 'max_leaf_nodes': 50, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,82,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
284,0.059219646,0.005854023,0.000399685,0.00079937,15,400,400,"{'max_depth': 15, 'max_leaf_nodes': 400, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
1040,0.053338814,0.007946516,0.003124523,0.006249046,1000,70,400,"{'max_depth': 1000, 'max_leaf_nodes': 70, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
275,0.05942831,0.006809574,0.000399685,0.00079937,15,300,400,"{'max_depth': 15, 'max_leaf_nodes': 300, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
959,0.058331299,0.012704416,0.000399876,0.000799751,400,200,400,"{'max_depth': 400, 'max_leaf_nodes': 200, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
365,0.059359932,0.006242355,0,0,20,200,400,"{'max_depth': 20, 'max_leaf_nodes': 200, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
140,0.055851173,0.005438015,0.00039978,0.000799561,10,60,400,"{'max_depth': 10, 'max_leaf_nodes': 60, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,82,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
