,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
2,0.008863353729248047,0.0023394905781447856,0.0020155906677246094,3.373669229735166e-05,10,50,100,"{'max_depth': 10, 'max_leaf_nodes': 50, 'min_samples_split': 100}",-1.1162681009515931,-0.7394166321886808,-0.9193047796396743,-0.7110780053793452,-2.594297537761401,-1.216073011184139,0.7042381001542758,1,-1.741378237484486,-1.1387016135705748,-1.2681862197387226,-1.1435250982822198,-8.59685131388463,-2.7777284965921263,2.9179431104190314,1,-1.3196129119876352,-1.067099626825244,-1.1261377445671212,-1.0693573295593104,-2.9320387640487686,-1.5028492753976157,0.7205362947339903,1,-2.5156363636363626,-1.4084839812271928,-0.5001142968153052,0.7944250616328472,-3.605937382823824,-1.4471493925739676,1.5313429736386894,1
20,0.008687257766723633,0.0024426711100941838,0.0020188808441162108,3.2929878385796326e-05,1000,100,100,"{'max_depth': 1000, 'max_leaf_nodes': 100, 'min_samples_split': 100}",-1.1162681009515931,-0.7394166321886808,-0.9193047796396743,-0.7110780053793452,-2.594297537761401,-1.216073011184139,0.7042381001542758,1,-1.741378237484486,-1.1387016135705748,-1.2681862197387226,-1.1435250982822198,-8.59685131388463,-2.7777284965921263,2.9179431104190314,1,-1.3196129119876352,-1.067099626825244,-1.1261377445671212,-1.0693573295593104,-2.9320387640487686,-1.5028492753976157,0.7205362947339903,1,-2.5156363636363626,-1.4084839812271928,-0.5001142968153052,0.7944250616328472,-3.605937382823824,-1.4471493925739676,1.5313429736386894,1
4,0.008650970458984376,0.001662569161200147,0.00221710205078125,0.00040062138385002445,10,100,100,"{'max_depth': 10, 'max_leaf_nodes': 100, 'min_samples_split': 100}",-1.1162681009515931,-0.7394166321886808,-0.9193047796396743,-0.7110780053793452,-2.594297537761401,-1.216073011184139,0.7042381001542758,1,-1.741378237484486,-1.1387016135705748,-1.2681862197387226,-1.1435250982822198,-8.59685131388463,-2.7777284965921263,2.9179431104190314,1,-1.3196129119876352,-1.067099626825244,-1.1261377445671212,-1.0693573295593104,-2.9320387640487686,-1.5028492753976157,0.7205362947339903,1,-2.5156363636363626,-1.4084839812271928,-0.5001142968153052,0.7944250616328472,-3.605937382823824,-1.4471493925739676,1.5313429736386894,1
6,0.008665895462036133,0.0024245440328600717,0.002023124694824219,4.210518008335087e-05,10,1000,100,"{'max_depth': 10, 'max_leaf_nodes': 1000, 'min_samples_split': 100}",-1.1162681009515931,-0.7394166321886808,-0.9193047796396743,-0.7110780053793452,-2.594297537761401,-1.216073011184139,0.7042381001542758,1,-1.741378237484486,-1.1387016135705748,-1.2681862197387226,-1.1435250982822198,-8.59685131388463,-2.7777284965921263,2.9179431104190314,1,-1.3196129119876352,-1.067099626825244,-1.1261377445671212,-1.0693573295593104,-2.9320387640487686,-1.5028492753976157,0.7205362947339903,1,-2.5156363636363626,-1.4084839812271928,-0.5001142968153052,0.7944250616328472,-3.605937382823824,-1.4471493925739676,1.5313429736386894,1
18,0.008219289779663085,0.0019568253668725143,0.002029705047607422,4.3470814480013126e-05,1000,50,100,"{'max_depth': 1000, 'max_leaf_nodes': 50, 'min_samples_split': 100}",-1.1162681009515931,-0.7394166321886808,-0.9193047796396743,-0.7110780053793452,-2.594297537761401,-1.216073011184139,0.7042381001542758,1,-1.741378237484486,-1.1387016135705748,-1.2681862197387226,-1.1435250982822198,-8.59685131388463,-2.7777284965921263,2.9179431104190314,1,-1.3196129119876352,-1.067099626825244,-1.1261377445671212,-1.0693573295593104,-2.9320387640487686,-1.5028492753976157,0.7205362947339903,1,-2.5156363636363626,-1.4084839812271928,-0.5001142968153052,0.7944250616328472,-3.605937382823824,-1.4471493925739676,1.5313429736386894,1
14,0.009073781967163085,0.0021238170635194007,0.0020356178283691406,4.5509104556228835e-05,100,1000,100,"{'max_depth': 100, 'max_leaf_nodes': 1000, 'min_samples_split': 100}",-1.1162681009515931,-0.7394166321886808,-0.9193047796396743,-0.7110780053793452,-2.594297537761401,-1.216073011184139,0.7042381001542758,1,-1.741378237484486,-1.1387016135705748,-1.2681862197387226,-1.1435250982822198,-8.59685131388463,-2.7777284965921263,2.9179431104190314,1,-1.3196129119876352,-1.067099626825244,-1.1261377445671212,-1.0693573295593104,-2.9320387640487686,-1.5028492753976157,0.7205362947339903,1,-2.5156363636363626,-1.4084839812271928,-0.5001142968153052,0.7944250616328472,-3.605937382823824,-1.4471493925739676,1.5313429736386894,1
10,0.008797645568847656,0.0019357106855418772,0.0021963596343994142,0.0004009036134379523,100,50,100,"{'max_depth': 100, 'max_leaf_nodes': 50, 'min_samples_split': 100}",-1.1162681009515931,-0.7394166321886808,-0.9193047796396743,-0.7110780053793452,-2.594297537761401,-1.216073011184139,0.7042381001542758,1,-1.741378237484486,-1.1387016135705748,-1.2681862197387226,-1.1435250982822198,-8.59685131388463,-2.7777284965921263,2.9179431104190314,1,-1.3196129119876352,-1.067099626825244,-1.1261377445671212,-1.0693573295593104,-2.9320387640487686,-1.5028492753976157,0.7205362947339903,1,-2.5156363636363626,-1.4084839812271928,-0.5001142968153052,0.7944250616328472,-3.605937382823824,-1.4471493925739676,1.5313429736386894,1
22,0.008299493789672851,0.001937172881369113,0.0022142410278320314,0.0003927768311073556,1000,1000,100,"{'max_depth': 1000, 'max_leaf_nodes': 1000, 'min_samples_split': 100}",-1.1162681009515931,-0.7394166321886808,-0.9193047796396743,-0.7110780053793452,-2.594297537761401,-1.216073011184139,0.7042381001542758,1,-1.741378237484486,-1.1387016135705748,-1.2681862197387226,-1.1435250982822198,-8.59685131388463,-2.7777284965921263,2.9179431104190314,1,-1.3196129119876352,-1.067099626825244,-1.1261377445671212,-1.0693573295593104,-2.9320387640487686,-1.5028492753976157,0.7205362947339903,1,-2.5156363636363626,-1.4084839812271928,-0.5001142968153052,0.7944250616328472,-3.605937382823824,-1.4471493925739676,1.5313429736386894,1
12,0.008597612380981445,0.002151972180896135,0.0021961688995361327,0.0003945350935126597,100,100,100,"{'max_depth': 100, 'max_leaf_nodes': 100, 'min_samples_split': 100}",-1.1162681009515931,-0.7394166321886808,-0.9193047796396743,-0.7110780053793452,-2.594297537761401,-1.216073011184139,0.7042381001542758,1,-1.741378237484486,-1.1387016135705748,-1.2681862197387226,-1.1435250982822198,-8.59685131388463,-2.7777284965921263,2.9179431104190314,1,-1.3196129119876352,-1.067099626825244,-1.1261377445671212,-1.0693573295593104,-2.9320387640487686,-1.5028492753976157,0.7205362947339903,1,-2.5156363636363626,-1.4084839812271928,-0.5001142968153052,0.7944250616328472,-3.605937382823824,-1.4471493925739676,1.5313429736386894,1
11,0.008392429351806641,0.002247767876914205,0.002401256561279297,0.0004877446903425343,100,50,1000,"{'max_depth': 100, 'max_leaf_nodes': 50, 'min_samples_split': 1000}",-1.1162681009515931,-0.7394166321886808,-0.9193047796396745,-0.7110780053793776,-2.594297537761401,-1.2160730111841453,0.704238100154271,10,-1.741378237484486,-1.1387016135705748,-1.2681862197387226,-1.143525098282357,-8.59685131388463,-2.777728496592154,2.917943110419016,10,-1.3196129119876352,-1.067099626825244,-1.1261377445671212,-1.0693573295593746,-2.9320387640487686,-1.5028492753976286,0.7205362947339826,10,-2.5156363636363626,-1.4084839812271928,-0.5001142968153052,0.7944250616328226,-3.605937382823824,-1.4471493925739725,1.531342973638682,10
