,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
208,0.538410568,0.008056519,0.00743475,0.007748151,0.01,5,90,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 90}",-104.3179727,-117.9669232,-177.0072948,-100.0976888,-150.2878453,-129.9355449,29.39309899,192,-11328.12118,-13946.76237,-36945.67757,-10230.36519,-26072.01811,-19704.58888,10304.15437,188,-106.4336468,-118.0964113,-192.2125843,-101.1452678,-161.4683192,-135.8712459,35.26461999,190,-14.07087394,-106.8097991,-1.714487528,-14.39022516,-1.948648445,-27.78680683,39.89888414,190
322,0.075333834,0.006452903,0.003124905,0.006249809,0.03,1,30,"{'learning_rate': 0.03, 'max_depth': 1, 'n_estimators': 30}",-54.72843612,-125.4032456,-185.6400972,-103.7136692,-174.6086261,-128.8188148,47.86790912,181,-3746.858275,-15746.12693,-43886.47458,-11263.63472,-34412.88632,-21811.19616,14969.81585,191,-61.21158612,-125.4835723,-209.4909892,-106.1302724,-185.5071059,-137.5647052,53.73218821,191,-3.984800908,-120.7190581,-2.224444529,-15.94464188,-2.891969671,-29.15298302,46.05872509,191
168,0.176166677,0.005813441,0.006249237,0.007653721,0.01,1,90,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 90}",-55.7993132,-127.180041,-185.875335,-104.5223597,-176.1266973,-129.9007492,47.77547541,188,-3865.219908,-16189.37799,-43870.00367,-11422.79793,-34889.5662,-22047.39314,14959.52892,192,-62.17089277,-127.2374866,-209.4516738,-106.8774903,-186.7874894,-138.5050066,53.51407566,192,-4.142268614,-124.145431,-2.223234372,-16.18408178,-2.945880395,-29.92817923,47.38420064,192
411,0.085854673,0.015470791,0,0,0.04,2,20,"{'learning_rate': 0.04, 'max_depth': 2, 'n_estimators': 20}",-92.80009746,-124.7714596,-198.0348861,-105.8527425,-171.6564907,-138.6231353,39.96617838,193,-9083.828125,-15652.74755,-46514.81127,-11485.45475,-33667.26427,-23280.82119,14467.68319,205,-95.30911879,-125.110941,-215.6729266,-107.1702139,-183.4864144,-145.3499229,46.4135874,193,-11.08507805,-119.9972266,-2.417554729,-16.27834065,-2.807642585,-30.51716853,45.04317325,193
421,0.108353806,0.026011479,0.006305456,0.007723094,0.04,3,20,"{'learning_rate': 0.04, 'max_depth': 3, 'n_estimators': 20}",-108.2864364,-125.6904046,-191.2024212,-110.2521404,-165.5299274,-140.192266,32.76806398,195,-12140.98998,-15814.36487,-42778.92818,-12405.95027,-31050.32181,-22838.11102,12146.34086,194,-110.1861606,-125.7551783,-206.8306752,-111.3820016,-176.211015,-146.0730061,38.74000396,194,-15.15231041,-121.2465439,-2.143070439,-17.66310385,-2.51167611,-31.74334094,45.19956848,197
253,0.125946808,0.00145713,0.006248999,0.007653429,0.02,2,40,"{'learning_rate': 0.02, 'max_depth': 2, 'n_estimators': 40}",-93.37553406,-125.6747108,-198.6581522,-107.1932509,-172.9801363,-139.5763568,39.95724807,194,-9195.271533,-15883.58034,-46778.20226,-11766.23683,-34143.49794,-23553.35778,14529.01109,218,-95.89197846,-126.0300771,-216.2826906,-108.472286,-184.7795929,-146.291325,46.39187436,195,-11.23334178,-121.7815861,-2.436906697,-16.70073997,-2.861502845,-31.00281548,45.70363502,194
431,0.122630978,0.010450813,0.010377455,0.006617712,0.04,4,20,"{'learning_rate': 0.04, 'max_depth': 4, 'n_estimators': 20}",-111.3925674,-128.1986435,-188.7075316,-109.6305438,-165.0478388,-140.595425,31.23461637,198,-12843.82675,-16465.32073,-41625.27621,-12239.09743,-30911.02512,-22816.90925,11584.16621,193,-113.3306082,-128.3172659,-204.0227345,-110.6304544,-175.8153154,-146.4232757,37.1097506,196,-16.08736081,-126.2784946,-2.058308862,-17.41209593,-2.495922172,-32.86643647,47.15441758,201
471,0.203370094,0.011912887,0.009803677,0.007161243,0.04,8,20,"{'learning_rate': 0.04, 'max_depth': 8, 'n_estimators': 20}",-111.4548687,-128.3128883,-188.8833542,-110.1327221,-165.7317135,-140.9031094,31.27648559,199,-12858.68334,-16496.89939,-41591.84648,-12350.60775,-31110.42785,-22881.69296,11575.07658,195,-113.3961346,-128.4402561,-203.9407916,-111.1332882,-176.3814839,-146.6583909,37.05414076,197,-16.10712594,-126.5226007,-2.0558527,-17.57984838,-2.518473879,-32.95678031,47.23617565,202
461,0.149041271,0.004608096,0.008355665,0.004760119,0.04,7,20,"{'learning_rate': 0.04, 'max_depth': 7, 'n_estimators': 20}",-111.4548687,-128.3128883,-188.8833542,-110.1327221,-165.7317135,-140.9031094,31.27648559,199,-12858.68334,-16496.89939,-41591.84648,-12350.60775,-31110.42785,-22881.69296,11575.07658,195,-113.3961346,-128.4402561,-203.9407916,-111.1332882,-176.3814839,-146.6583909,37.05414076,197,-16.10712594,-126.5226007,-2.0558527,-17.57984838,-2.518473879,-32.95678031,47.23617565,202
451,0.166502953,0.0076271,0.006196642,0.000979102,0.04,6,20,"{'learning_rate': 0.04, 'max_depth': 6, 'n_estimators': 20}",-111.4548687,-128.3128883,-188.8833542,-110.1327221,-165.7317135,-140.9031094,31.27648559,199,-12858.68334,-16496.89939,-41591.84648,-12350.60775,-31110.42785,-22881.69296,11575.07658,195,-113.3961346,-128.4402561,-203.9407916,-111.1332882,-176.3814839,-146.6583909,37.05414076,197,-16.10712594,-126.5226007,-2.0558527,-17.57984838,-2.518473879,-32.95678031,47.23617565,202
441,0.138247919,0.011580991,0.006249142,0.007653604,0.04,5,20,"{'learning_rate': 0.04, 'max_depth': 5, 'n_estimators': 20}",-111.4548687,-128.3128883,-188.8833542,-110.1405012,-165.7317135,-140.9046652,31.27495505,202,-12858.68334,-16496.89939,-41591.84648,-12359.42105,-31110.42785,-22883.45562,11573.47333,198,-113.3961346,-128.4402561,-203.9407916,-111.1729331,-176.3814839,-146.6663198,37.04654159,200,-16.10712594,-126.5226007,-2.0558527,-17.59310681,-2.518473879,-32.959432,47.23531273,205
177,0.232309484,0.005053337,0.009373474,0.00765341,0.01,2,80,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 80}",-93.99313257,-126.501064,-199.4533278,-107.5517347,-173.7307085,-140.2459935,40.05970386,196,-9306.239616,-16084.62894,-47109.64487,-11846.29592,-34432.09185,-23755.78024,14620.93175,219,-96.46885309,-126.8251905,-217.0475636,-108.8406905,-185.5588636,-146.9482323,46.49728245,201,-11.38097315,-123.3357108,-2.46125858,-16.82117824,-2.894141745,-31.37865251,46.29365149,195
263,0.166427708,0.006948905,0.007448435,0.007024174,0.02,3,40,"{'learning_rate': 0.02, 'max_depth': 3, 'n_estimators': 40}",-108.4606306,-126.7089689,-192.4087095,-111.3048565,-167.0247606,-141.1815852,33.06001932,203,-12178.34034,-16071.46029,-43273.14734,-12642.91632,-31565.19136,-23146.21113,12301.53064,199,-110.3555179,-126.7732633,-208.0219876,-112.4407236,-177.6659544,-147.0514894,39.01372325,202,-15.20200112,-123.2339159,-2.179381906,-18.01958779,-2.569905944,-32.24095854,45.94858323,198
99,0.302691936,0.013263809,8.47E-05,0.000169468,0.008,2,100,"{'learning_rate': 0.008, 'max_depth': 2, 'n_estimators': 100}",-94.06619686,-126.5738673,-199.6133436,-107.8481992,-173.8841868,-140.3971588,40.06248566,197,-9318.849851,-16104.92496,-47177.26645,-11905.6878,-34465.72535,-23794.49088,14633.15881,220,-96.53419006,-126.905181,-217.2032837,-109.113188,-185.649469,-147.0810624,46.4935692,203,-11.39774974,-123.4926011,-2.466226899,-16.91052544,-2.897945568,-31.43300974,46.34783046,196
273,0.25025506,0.037640177,0.006746149,0.005052106,0.02,4,40,"{'learning_rate': 0.02, 'max_depth': 4, 'n_estimators': 40}",-112.0877003,-129.2422503,-189.846648,-110.6484953,-166.6546985,-141.6959585,31.42329193,204,-12998.22704,-16734.7537,-42101.67906,-12464.58257,-31458.59833,-23151.56814,11718.2845,200,-114.0097673,-129.362876,-205.1869369,-111.644895,-177.3657192,-147.5140389,37.29847822,204,-16.29277416,-128.3612371,-2.093311322,-17.75130836,-2.557850668,-33.41129631,47.93020251,206
187,0.317682886,0.006745602,0.006249237,0.007653721,0.01,3,80,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 80}",-109.0876741,-127.2663245,-193.0294799,-111.8347534,-167.801632,-141.8039728,33.10523944,205,-12316.4352,-16214.51495,-43498.81849,-12763.7549,-31832.82609,-23325.26992,12350.33159,207,-110.9794359,-127.3362279,-208.5637037,-112.9767892,-178.417561,-147.6547436,39.0300734,205,-15.38572182,-124.339742,-2.195962507,-18.20137337,-2.600174438,-32.54459483,46.35560758,199
109,0.387384415,0.004476253,0.013263226,0.006795065,0.008,3,100,"{'learning_rate': 0.008, 'max_depth': 3, 'n_estimators': 100}",-108.9932206,-127.3762312,-193.1406854,-111.9324769,-167.9563963,-141.8798021,33.15536163,207,-12295.4094,-16242.61884,-43548.90473,-12786.06929,-31886.90674,-23351.9818,12370.85269,209,-110.8846671,-127.4465333,-208.6837433,-113.0755026,-178.5690531,-147.7318999,39.08027066,206,-15.3577492,-124.5569878,-2.199642463,-18.23494241,-2.606290759,-32.59112254,46.44037391,200
313,0.26931529,0.008865712,0.006249619,0.007654188,0.02,8,40,"{'learning_rate': 0.02, 'max_depth': 8, 'n_estimators': 40}",-112.169837,-129.3452505,-190.0638482,-111.1459396,-167.2630863,-141.9975923,31.46525501,208,-13017.97072,-16763.08736,-42069.88148,-12577.21786,-31637.27846,-23213.08718,11706.49651,201,-114.0963221,-129.4723421,-205.1094378,-112.148196,-177.8687113,-147.7390019,37.23270748,207,-16.31904105,-128.580259,-2.090975078,-17.92075319,-2.578058727,-33.4978174,48.00176498,207
293,0.278770876,0.011496452,0.003124571,0.006249142,0.02,6,40,"{'learning_rate': 0.02, 'max_depth': 6, 'n_estimators': 40}",-112.169837,-129.3452505,-190.0638482,-111.1459396,-167.2630863,-141.9975923,31.46525501,208,-13017.97072,-16763.08736,-42069.88148,-12577.21786,-31637.27846,-23213.08718,11706.49651,201,-114.0963221,-129.4723421,-205.1094378,-112.148196,-177.8687113,-147.7390019,37.23270748,207,-16.31904105,-128.580259,-2.090975078,-17.92075319,-2.578058727,-33.4978174,48.00176498,207
303,0.278300858,0.025391054,0.012714005,0.006370681,0.02,7,40,"{'learning_rate': 0.02, 'max_depth': 7, 'n_estimators': 40}",-112.169837,-129.3452505,-190.0638482,-111.1459396,-167.2630863,-141.9975923,31.46525501,208,-13017.97072,-16763.08736,-42069.88148,-12577.21786,-31637.27846,-23213.08718,11706.49651,201,-114.0963221,-129.4723421,-205.1094378,-112.148196,-177.8687113,-147.7390019,37.23270748,207,-16.31904105,-128.580259,-2.090975078,-17.92075319,-2.578058727,-33.4978174,48.00176498,207
283,0.257884169,0.011093915,0.006249142,0.007653604,0.02,5,40,"{'learning_rate': 0.02, 'max_depth': 5, 'n_estimators': 40}",-112.169837,-129.3452505,-190.0638482,-111.173487,-167.2630863,-142.0031018,31.45985443,211,-13017.97072,-16763.08736,-42069.88148,-12590.7894,-31637.27846,-23215.80148,11704.03145,204,-114.0963221,-129.4723421,-205.1094378,-112.2086868,-177.8687113,-147.7511,37.2211489,210,-16.31904105,-128.580259,-2.090975078,-17.94116976,-2.578058727,-33.50190072,48.00044057,210
197,0.409440899,0.008837599,0.004523754,0.006175673,0.01,4,80,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 80}",-112.4396864,-129.7413978,-190.4479099,-111.1440478,-167.4024359,-142.2350956,31.52263514,212,-13076.94338,-16863.98324,-42338.56846,-12575.44335,-31717.45281,-23314.47825,11783.6231,206,-114.3544637,-129.8614001,-205.7633798,-112.1402843,-178.0939438,-148.0426943,37.38768383,211,-16.39749797,-129.3601937,-2.110716154,-17.91808367,-2.587126149,-33.67472352,48.30157076,211
