,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
960,0.053120995,0.007649071,0,0,400,200,1000,"{'max_depth': 400, 'max_leaf_nodes': 200, 'min_samples_split': 1000}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
959,0.049676132,0.007170051,0.000399828,0.000799656,400,200,400,"{'max_depth': 400, 'max_leaf_nodes': 200, 'min_samples_split': 400}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
958,0.049993515,0.00625098,0,0,400,200,300,"{'max_depth': 400, 'max_leaf_nodes': 200, 'min_samples_split': 300}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
957,0.046930552,0.001194101,0.003524733,0.006105314,400,200,200,"{'max_depth': 400, 'max_leaf_nodes': 200, 'min_samples_split': 200}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
956,0.046873617,5.51E-06,0.006247568,0.007651678,400,200,100,"{'max_depth': 400, 'max_leaf_nodes': 200, 'min_samples_split': 100}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
603,0.05563817,0.009036565,0.00059967,0.001199341,100,30,10,"{'max_depth': 100, 'max_leaf_nodes': 30, 'min_samples_split': 10}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
604,0.053774977,0.007219002,0,0,100,30,50,"{'max_depth': 100, 'max_leaf_nodes': 30, 'min_samples_split': 50}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
605,0.049400234,0.00911015,0.000399876,0.000799751,100,30,100,"{'max_depth': 100, 'max_leaf_nodes': 30, 'min_samples_split': 100}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
606,0.050843811,0.005938832,0,0,100,30,200,"{'max_depth': 100, 'max_leaf_nodes': 30, 'min_samples_split': 200}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
607,0.048822069,0.003664227,0.000399876,0.000799751,100,30,300,"{'max_depth': 100, 'max_leaf_nodes': 30, 'min_samples_split': 300}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
