,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
16,13.5048593,0.175000772,0.106928396,0.006087717,4,500,"{'max_depth': 4, 'n_estimators': 500}",-1.102158048,-1.911289226,-5.157600699,-0.507053246,-1.251316859,-1.985883616,1.647595341,77,-1.540566046,-4.70920112,-39.3802825,-0.471569381,-3.09082085,-9.838487979,14.84016773,77,-1.24119541,-2.170069381,-6.275371104,-0.686709095,-1.75807305,-2.426283608,1.987872187,80,-1.382570474,-2.328916975,-6.502815433,-1.576018371,-1.740948537,-2.706253958,1.924455624,79
18,18.9474575,0.230124733,0.154658794,0.010697551,4,700,"{'max_depth': 4, 'n_estimators': 700}",-1.117416545,-1.89534262,-5.172542964,-0.50282959,-1.262470587,-1.990120461,1.651660766,79,-1.581722674,-4.636504231,-39.59935314,-0.464855504,-3.138362351,-9.88415958,14.92441049,81,-1.257665565,-2.153254335,-6.292801692,-0.681803127,-1.771542365,-2.431413417,1.99308514,81,-1.446221472,-2.277527812,-6.544553239,-1.539342818,-1.783108473,-2.718150763,1.934797192,80
19,27.2923656,0.470960626,0.214753103,0.005064208,4,1000,"{'max_depth': 4, 'n_estimators': 1000}",-1.13899674,-1.895839678,-5.174725979,-0.505633055,-1.265163876,-1.996071866,1.649490865,82,-1.632716674,-4.638751578,-39.63028247,-0.469289426,-3.138322198,-9.901872469,14.93035147,82,-1.277778022,-2.153776121,-6.295258729,-0.685047025,-1.771531032,-2.436678186,1.991098161,82,-1.52508651,-2.279116453,-6.55044596,-1.56356378,-1.783072865,-2.740257114,1.923935458,81
17,16.17582073,0.171803568,0.128318405,0.006152607,4,600,"{'max_depth': 4, 'n_estimators': 600}",-1.142241986,-1.90718665,-5.170238295,-0.504249493,-1.264453086,-1.997673902,1.647607099,83,-1.635147244,-4.690415674,-39.56493472,-0.466933319,-3.156548253,-9.902795842,14.89907891,83,-1.278728761,-2.165736751,-6.290066353,-0.683325193,-1.776667738,-2.438904959,1.988602133,83,-1.52884552,-2.315637613,-6.537995768,-1.550693192,-1.799235781,-2.746481575,1.916821766,82
3,4.439184284,0.02612619,0.042828798,0.008079412,3,200,"{'max_depth': 3, 'n_estimators': 200}",-1.167944708,-1.55512392,-5.42249001,-0.773846032,-1.260214205,-2.035923775,1.711604662,84,-1.850693752,-3.262853231,-40.93200996,-0.829766937,-3.010473234,-9.977159424,15.50182976,84,-1.360402055,-1.806336965,-6.397812905,-0.910915439,-1.735071536,-2.44210778,2.003314507,84,-1.862200099,-1.306498965,-6.79845386,-3.532726176,-1.669696048,-3.03391503,2.031676191,85
5,8.862600756,0.058806337,0.076458549,0.003251081,3,400,"{'max_depth': 3, 'n_estimators': 400}",-1.103984021,-1.624455196,-5.445726542,-0.768832357,-1.274552397,-2.043510103,1.723339333,85,-1.667074333,-3.534977025,-41.2864602,-0.81387196,-3.090591618,-10.07859503,15.63438998,86,-1.291152328,-1.880153458,-6.425454085,-0.902148524,-1.758007855,-2.45138325,2.017254369,85,-1.578222526,-1.498862275,-6.865984475,-3.44589748,-1.740745253,-3.025942402,2.049482064,84
4,6.645036507,0.072881856,0.060360956,0.004258661,3,300,"{'max_depth': 3, 'n_estimators': 300}",-1.139480379,-1.634028804,-5.422498262,-0.77254775,-1.2786965,-2.049450339,1.708953737,87,-1.757739,-3.573637225,-40.93239138,-0.825699689,-3.115132741,-10.04092001,15.47647668,85,-1.325797496,-1.89040663,-6.397842713,-0.908680191,-1.764973864,-2.457540179,2.000354038,86,-1.718440441,-1.526191029,-6.798526528,-3.510508221,-1.76250839,-3.063234922,2.000765974,86
6,11.10994782,0.094207012,0.102388954,0.007040435,3,500,"{'max_depth': 3, 'n_estimators': 500}",-1.155283158,-1.602305584,-5.441122342,-0.770528043,-1.275153398,-2.048878505,1.716862762,86,-1.817373944,-3.446435826,-41.21633082,-0.819339997,-3.09444725,-10.07878557,15.59682034,87,-1.348100124,-1.856457871,-6.419994612,-0.905174015,-1.759104104,-2.457766145,2.009520128,87,-1.810669175,-1.436272827,-6.852623276,-3.475767449,-1.744164439,-3.063899433,2.024130358,87
8,15.58051949,0.194512055,0.134201384,0.00726274,3,700,"{'max_depth': 3, 'n_estimators': 700}",-1.165402013,-1.604800578,-5.449103211,-0.768463036,-1.28021967,-2.053597701,1.718688616,88,-1.848883268,-3.456282718,-41.33826754,-0.813025393,-3.124138681,-10.11611952,15.63942777,88,-1.35973647,-1.859108044,-6.429484236,-0.901679207,-1.767523318,-2.463506255,2.011779424,88,-1.859400085,-1.443233559,-6.87585492,-3.44127298,-1.770494883,-3.078051285,2.021023797,88
9,22.10874758,0.102636648,0.201144218,0.007387456,3,1000,"{'max_depth': 3, 'n_estimators': 1000}",-1.180111359,-1.613466166,-5.450399581,-0.769320048,-1.27775698,-2.058210827,1.717332157,89,-1.896299612,-3.49083717,-41.35820326,-0.815605064,-3.109535434,-10.13409611,15.64044613,89,-1.377061949,-1.868378219,-6.431034385,-0.903108556,-1.763387488,-2.46859412,2.010009747,89,-1.932732081,-1.467659974,-6.879653116,-3.45536482,-1.757544682,-3.098590935,2.012028158,89
7,13.26908445,0.081635126,0.120372343,0.006696504,3,600,"{'max_depth': 3, 'n_estimators': 600}",-1.191297036,-1.606089907,-5.453616168,-0.769011827,-1.284233373,-2.060849662,1.717310142,90,-1.927802705,-3.461410932,-41.40702681,-0.81459756,-3.148422769,-10.15185216,15.65576752,90,-1.38845335,-1.860486746,-6.434829198,-0.902550586,-1.774379545,-2.472139885,2.010068791,90,-1.981453353,-1.446858675,-6.888955084,-3.449861179,-1.792030079,-3.111831674,2.008616025,90
