,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
34,9.496064758,0.287520448,0.068115854,0.006955134,6,300,"{'max_depth': 6, 'n_estimators': 300}",-8.258962545,-2.649943911,-37.35567325,-3.791863354,-34.99792848,-17.41087431,15.45457533,33,-80.96651516,-9.737566457,-2027.495893,-23.00297132,-2294.712166,-887.1830222,1043.853867,50,-8.998139539,-3.120507404,-45.0277236,-4.796141295,-47.90315402,-21.96913317,20.11318498,39,0.892282566,0.924727686,0.851035015,0.965395086,0.740476574,0.874783385,0.076959001,9
57,18.90065317,0.572580765,0.137151194,0.013309741,8,600,"{'max_depth': 8, 'n_estimators': 600}",-7.92398306,-2.896909467,-37.45791304,-3.986067382,-34.86365782,-17.42570615,15.41015273,39,-74.40939487,-11.58650476,-2058.138126,-24.99592624,-2257.014264,-885.2288431,1040.979463,41,-8.62608804,-3.403895528,-45.36670724,-4.999592608,-47.5080442,-21.98086552,20.05169304,45,0.901006125,0.910435217,0.848783656,0.96239695,0.744740067,0.873472403,0.073774629,28
37,18.90318031,0.557687781,0.140116167,0.010524022,6,600,"{'max_depth': 6, 'n_estimators': 600}",-7.92398306,-2.896909467,-37.45791304,-3.986067382,-34.86365782,-17.42570615,15.41015273,39,-74.40939487,-11.58650476,-2058.138126,-24.99592624,-2257.014264,-885.2288431,1040.979463,41,-8.62608804,-3.403895528,-45.36670724,-4.999592608,-47.5080442,-21.98086552,20.05169304,45,0.901006125,0.910435217,0.848783656,0.96239695,0.744740067,0.873472403,0.073774629,28
47,18.90685234,0.623557525,0.140849447,0.009876834,7,600,"{'max_depth': 7, 'n_estimators': 600}",-7.92398306,-2.896909467,-37.45791304,-3.986067382,-34.86365782,-17.42570615,15.41015273,39,-74.40939487,-11.58650476,-2058.138126,-24.99592624,-2257.014264,-885.2288431,1040.979463,41,-8.62608804,-3.403895528,-45.36670724,-4.999592608,-47.5080442,-21.98086552,20.05169304,45,0.901006125,0.910435217,0.848783656,0.96239695,0.744740067,0.873472403,0.073774629,28
67,18.90437951,0.569745423,0.146706152,0.00747051,20,600,"{'max_depth': 20, 'n_estimators': 600}",-7.92398306,-2.896909467,-37.45791304,-3.986067382,-34.86365782,-17.42570615,15.41015273,39,-74.40939487,-11.58650476,-2058.138126,-24.99592624,-2257.014264,-885.2288431,1040.979463,41,-8.62608804,-3.403895528,-45.36670724,-4.999592608,-47.5080442,-21.98086552,20.05169304,45,0.901006125,0.910435217,0.848783656,0.96239695,0.744740067,0.873472403,0.073774629,28
87,18.90515075,0.553539508,0.1334795,0.007031059,100,600,"{'max_depth': 100, 'n_estimators': 600}",-7.92398306,-2.896909467,-37.45791304,-3.986067382,-34.86365782,-17.42570615,15.41015273,39,-74.40939487,-11.58650476,-2058.138126,-24.99592624,-2257.014264,-885.2288431,1040.979463,41,-8.62608804,-3.403895528,-45.36670724,-4.999592608,-47.5080442,-21.98086552,20.05169304,45,0.901006125,0.910435217,0.848783656,0.96239695,0.744740067,0.873472403,0.073774629,28
77,18.88221021,0.57987853,0.137377644,0.011820803,50,600,"{'max_depth': 50, 'n_estimators': 600}",-7.92398306,-2.896909467,-37.45791304,-3.986067382,-34.86365782,-17.42570615,15.41015273,39,-74.40939487,-11.58650476,-2058.138126,-24.99592624,-2257.014264,-885.2288431,1040.979463,41,-8.62608804,-3.403895528,-45.36670724,-4.999592608,-47.5080442,-21.98086552,20.05169304,45,0.901006125,0.910435217,0.848783656,0.96239695,0.744740067,0.873472403,0.073774629,28
19,27.60982914,0.449410924,0.214215374,0.010854504,4,1000,"{'max_depth': 4, 'n_estimators': 1000}",-7.71870575,-4.350826846,-37.63411651,-4.28004169,-35.65232025,-17.92720221,15.34482739,66,-69.4208042,-22.16966924,-1946.407795,-25.13601443,-2307.026185,-874.0320936,1029.286664,31,-8.331914798,-4.708467823,-44.11811187,-5.013582993,-48.03151242,-22.04071798,19.70377742,51,0.90764292,0.828626349,0.856992752,0.962186206,0.739083904,0.858906426,0.075259472,59
15,11.05429692,0.176980632,0.086775827,0.007193055,4,400,"{'max_depth': 4, 'n_estimators': 400}",-8.30686692,-4.372562074,-37.50557925,-4.07396604,-35.36394034,-17.92458293,15.20226248,65,-80.82397555,-22.19114011,-1913.38898,-24.39214524,-2292.276384,-866.614525,1016.671498,24,-8.990215545,-4.710747298,-43.74230195,-4.938840475,-47.87772326,-22.05196571,19.50193153,52,0.8924722,0.828460377,0.859418723,0.963305258,0.740752052,0.856881722,0.073338886,68
18,19.31070294,0.288111028,0.151061344,0.007245064,4,700,"{'max_depth': 4, 'n_estimators': 700}",-7.856460369,-4.309454826,-38.66096418,-4.065923624,-35.15756558,-18.01007372,15.52892719,68,-71.80204926,-21.6177459,-2051.21044,-22.82565409,-2240.856642,-881.6625063,1034.25362,40,-8.473608986,-4.649488779,-45.29029079,-4.777620128,-47.33768734,-22.1057392,19.82419735,53,0.904474924,0.832892769,0.84929265,0.965661836,0.746567434,0.859777923,0.073292008,58
