,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
302,0.491909885,0.068747706,0.006577015,0.006175372,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",-1.631072406,-2.115877053,-5.091244951,-2.015328318,-0.981792239,-2.367062993,1.419058575,6,-3.40105988,-6.139758895,-38.09048758,-7.465373871,-1.582479492,-11.33583194,13.53425071,18,-1.844196269,-2.477853687,-6.171749151,-2.732283637,-1.257966411,-2.896809831,1.715903478,1,-4.25992694,-3.340173012,-6.257080954,-39.78072291,-0.40334722,-10.80825021,14.60843617,11
308,2.864135695,0.169108941,0.015623474,3.23E-07,0.1,3,700,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 700}",-1.617339064,-2.10814478,-5.097189249,-2.00743095,-0.986236158,-2.36326804,1.422579343,2,-3.357396225,-6.104233084,-38.01941695,-7.41382581,-1.671614275,-11.31329727,13.504188,12,-1.832319902,-2.470674621,-6.165988725,-2.72283415,-1.292909229,-2.896945326,1.709094804,2,-4.192398687,-3.315059947,-6.243540426,-39.49913391,-0.482392195,-10.74650503,14.49499952,4
309,4.046216154,0.157294137,0.02933526,0.003821373,0.1,3,1000,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",-1.615794022,-2.108362272,-5.097043548,-2.006805376,-0.985388957,-2.362678835,1.422872977,1,-3.356159562,-6.104311393,-38.01656615,-7.410433051,-1.674857188,-11.31246547,13.50293314,11,-1.831982413,-2.470690469,-6.165757549,-2.722211059,-1.294162736,-2.896960845,1.708825132,3,-4.19048612,-3.315115303,-6.242997285,-39.48060045,-0.485268018,-10.74289344,14.48744062,3
307,2.446665239,0.131936644,0.018006611,0.003346598,0.1,3,600,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600}",-1.617094446,-2.107881244,-5.097171927,-2.007515021,-0.987650844,-2.363462696,1.422329821,3,-3.356480524,-6.103541102,-38.01962296,-7.414241459,-1.672848327,-11.31334687,13.50423056,13,-1.832070011,-2.470534578,-6.166005429,-2.722910476,-1.293386379,-2.896981375,1.709048211,4,-4.190982504,-3.314570787,-6.243579674,-39.50140445,-0.483486555,-10.74680479,14.49592113,5
306,2.047139597,0.053809794,0.015793514,0.000211749,0.1,3,500,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-1.618721727,-2.107851105,-5.097323586,-2.008247639,-0.986582935,-2.363745398,1.422388623,4,-3.360653775,-6.103420246,-38.0212505,-7.41852875,-1.66801777,-11.31437421,13.50483436,14,-1.833208601,-2.470510118,-6.166137405,-2.723697625,-1.291517623,-2.897014274,1.709292983,5,-4.197436668,-3.314485354,-6.243889757,-39.52482442,-0.479202804,-10.7519678,14.50522506,6
304,1.262323856,0.011647106,0.012102699,0.001835328,0.1,3,300,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",-1.625414616,-2.107682937,-5.099012825,-2.010251388,-0.99489019,-2.367450391,1.420636631,7,-3.376484468,-6.103591255,-38.04761743,-7.425185488,-1.648579125,-11.32029155,13.51578229,16,-1.837521284,-2.470544728,-6.168275077,-2.724919354,-1.283970064,-2.897046102,1.710969152,6,-4.221919709,-3.31460624,-6.248913241,-39.56118785,-0.461964559,-10.76171832,14.51956078,8
305,1.742471552,0.078650091,0.015808964,0.001542932,0.1,3,400,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400}",-1.624397349,-2.107756967,-5.097360121,-2.009385589,-0.990862432,-2.365952491,1.420927107,5,-3.373415866,-6.103312562,-38.02199527,-7.423829443,-1.664805952,-11.31747182,13.50378809,15,-1.83668611,-2.470488325,-6.166197797,-2.72467052,-1.290273596,-2.897663269,1.709099001,7,-4.217173947,-3.314409233,-6.244031652,-39.55378025,-0.476354555,-10.76114993,14.51533329,7
303,0.857513666,0.00966513,0.008523703,0.00507668,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",-1.62506902,-2.108163854,-5.098692588,-2.015778268,-0.994474997,-2.368435746,1.420336116,8,-3.375623776,-6.106266156,-38.06359987,-7.464778305,-1.634679645,-11.32898955,13.52171608,17,-1.837287069,-2.471086028,-6.169570477,-2.732174648,-1.278545911,-2.897732826,1.712347516,8,-4.220588601,-3.316497118,-6.25195825,-39.77746954,-0.449638462,-10.80323039,14.60684652,10
205,1.606615114,0.043413083,0.01720295,0.004845351,0.05,3,400,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 400}",-1.717030073,-2.130811048,-5.035905362,-2.011621603,-1.001637427,-2.379401102,1.384993992,10,-3.801058823,-6.254097678,-37.10756092,-7.500898905,-1.585392535,-11.24980177,13.08831248,4,-1.949630432,-2.500819401,-6.091597567,-2.7387769,-1.259123717,-2.907989603,1.671346235,9,-4.878547397,-3.420998678,-6.069811669,-39.97478373,-0.405930515,-10.9500144,14.63543718,16
206,2.0522789,0.13247114,0.018821287,0.006214902,0.05,3,500,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",-1.716685805,-2.129863375,-5.037179782,-2.011427299,-1.003127111,-2.379656674,1.385264065,11,-3.801238005,-6.249431097,-37.09839771,-7.500398466,-1.591961315,-11.24828532,13.08408665,2,-1.949676385,-2.499886217,-6.090845402,-2.738685536,-1.261729494,-2.908164607,1.670587902,10,-4.878824512,-3.417699889,-6.068065875,-39.97205,-0.411755727,-10.9496792,14.63394667,15
