,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
400,0.050593185,0.005245287,0.009373617,0.007653526,1,3,10,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 10}",-19.01783145,-9.600799978,-60.99955361,-10.8953339,-44.96992288,-29.09668836,20.40938368,22,-489.0021871,-151.6464124,-6300.344828,-241.5205323,-4281.028023,-2292.708396,2532.170566,1,-22.11339384,-12.31447979,-79.37471151,-15.54093087,-65.42956536,-38.95461627,27.84324456,1,0.349434014,-0.172241185,0.537098557,0.636664449,0.515831626,0.373357492,0.287989867,26
409,3.617359304,0.860403263,0.021871614,0.007653721,1,3,1000,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 1000}",-19.08026453,-9.176332445,-61.14011885,-11.02395263,-45.05914486,-29.09596266,20.52001245,21,-491.6912597,-144.5877203,-6312.089654,-241.403177,-4332.689826,-2304.492327,2544.884826,3,-22.17411238,-12.02446341,-79.44866049,-15.53715473,-65.82317089,-39.00151238,27.98882562,2,0.345856486,-0.117676824,0.536235636,0.636840995,0.509988868,0.382249032,0.266869513,10
408,2.61840539,0.408514512,0.022625732,0.007171711,1,3,700,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 700}",-19.07309889,-9.185807979,-61.13984206,-11.02631119,-45.05914486,-29.096841,20.51837104,23,-491.4047132,-144.7875321,-6312.04992,-241.430376,-4332.689826,-2304.472474,2544.874813,2,-22.16765015,-12.0327691,-79.44841043,-15.53802999,-65.82317089,-39.00200611,27.98778292,3,0.346237706,-0.119221388,0.536238556,0.636800077,0.509988868,0.382008764,0.267430583,11
407,2.241205025,0.50407505,0.01405015,0.003148627,1,3,600,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 600}",-19.07334511,-9.188259721,-61.13969271,-11.02517939,-45.05914486,-29.09712436,20.51802389,24,-491.4138104,-144.9024431,-6312.032832,-241.4295038,-4332.689826,-2304.493683,2544.848773,4,-22.16785534,-12.03754307,-79.44830289,-15.53800193,-65.82317089,-39.00297482,27.98681186,4,0.346225603,-0.120109661,0.536239811,0.636801389,0.509988868,0.381829202,0.267764296,12
406,1.88888011,0.417575402,0.011636782,0.006053519,1,3,500,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}",-19.07216497,-9.206132203,-61.1396738,-11.02733984,-45.05914486,-29.10089113,20.51428524,25,-491.3640006,-145.3094948,-6312.041388,-241.4647553,-4332.689826,-2304.573893,2544.783768,5,-22.16673184,-12.0544388,-79.44835673,-15.53913625,-65.82317089,-39.0063669,27.98351718,5,0.34629187,-0.123256209,0.536239183,0.636748358,0.509988868,0.381202414,0.268932456,13
405,1.467387533,0.279695885,0.01644454,0.001972208,1,3,400,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 400}",-19.07057228,-9.211776969,-61.13929974,-11.04079042,-45.05914486,-29.10431685,20.51085969,26,-491.3181649,-145.4263845,-6312.051917,-241.8929013,-4332.689826,-2304.675839,2544.704363,6,-22.16569793,-12.05928624,-79.448423,-15.55290652,-65.82317089,-39.00989692,27.98041782,6,0.34635285,-0.124159778,0.536238409,0.636104269,0.509988868,0.380904924,0.269147566,14
404,1.116832685,0.181980088,0.00631876,0.007739645,1,3,300,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 300}",-19.07493351,-9.212878149,-61.13966508,-11.04551741,-45.05914486,-29.1064278,20.50950098,28,-491.5048599,-145.4292533,-6312.098969,-241.8661111,-4332.689826,-2304.717804,2544.696432,7,-22.16990888,-12.05940518,-79.44871912,-15.55204524,-65.82317089,-39.01064986,27.98011796,7,0.346104471,-0.124181954,0.536234952,0.636144572,0.509988868,0.380858182,0.269169528,15
403,0.827105856,0.163040349,0.007324934,0.009130924,1,3,200,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}",-19.07705866,-9.234330152,-61.13991439,-11.02034854,-45.05914486,-29.10615932,20.50964757,27,-491.6180803,-145.7829438,-6312.333132,-241.4716771,-4332.689826,-2304.779132,2544.757986,8,-22.17246221,-12.07406078,-79.45019278,-15.53935897,-65.82317089,-39.01184913,27.97954181,8,0.345953844,-0.126916015,0.536217747,0.636737945,0.509988868,0.380396478,0.270310068,16
401,0.211692381,0.007799489,0.009817171,0.008056394,1,3,50,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 50}",-19.07583467,-9.40022756,-61.14008949,-10.87189167,-45.05907816,-29.10942431,20.50408703,29,-491.5799906,-148.5137373,-6310.074793,-242.4187489,-4332.655824,-2305.048619,2543.429919,9,-22.17160325,-12.18662124,-79.43597921,-15.56980247,-65.82291261,-39.03738376,27.94872606,9,0.346004518,-0.148025309,0.536383673,0.635313202,0.509992713,0.375933759,0.278000913,17
402,0.415616512,0.010541545,0.007648134,0.006994146,1,3,100,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",-19.07707215,-9.412318921,-61.1423459,-10.88007794,-45.05914486,-29.11419195,20.50090075,30,-491.5884466,-148.9518527,-6312.423252,-242.0396192,-4332.689826,-2305.538599,2544.161013,10,-22.17179394,-12.20458327,-79.45075992,-15.55762254,-65.82317089,-39.04158611,27.95162165,10,0.345993268,-0.151411982,0.536211126,0.635883552,0.509988868,0.375332966,0.279364157,18
303,0.787294102,0.003498297,0.011032295,0.00759957,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",-32.17697306,-1.663218499,-63.11942473,-9.537926138,-35.07218782,-28.31394605,21.60934223,1,-1312.123476,-4.444048506,-7400.642112,-199.2810491,-3378.855455,-2459.069228,2746.359817,299,-36.22324497,-2.1080912,-86.02698479,-14.11669399,-58.1279232,-39.32058763,30.21523816,11,-0.7456423,0.965647083,0.456257077,0.700208139,0.617863993,0.398866798,0.595516748,2
304,1.213434982,0.073515112,0.016005135,0.003562279,0.1,3,300,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",-32.17697306,-1.663218499,-63.11987517,-9.537926138,-35.07218782,-28.31403614,21.60948733,2,-1312.123476,-4.444048506,-7400.647824,-199.2810491,-3378.855455,-2459.070371,2746.361872,300,-36.22324497,-2.1080912,-86.02701799,-14.11669399,-58.1279232,-39.32059427,30.21524842,12,-0.7456423,0.965647083,0.456256657,0.700208139,0.617863993,0.398866714,0.59551674,3
302,0.411210823,0.006309217,0.006249046,0.007653487,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",-32.17882809,-1.667462065,-63.12314068,-9.533102362,-35.07651631,-28.3158099,21.61066811,8,-1312.227996,-4.448037043,-7401.730461,-199.1490957,-3378.392254,-2459.189569,2746.732744,306,-36.22468766,-2.109036994,-86.03331018,-14.11201955,-58.12393873,-39.32059862,30.21721517,13,-0.745781352,0.965616251,0.456177113,0.700406646,0.61791638,0.398867007,0.595586736,1
305,1.837805176,0.283127456,0.012773085,0.00640842,0.1,3,400,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400}",-32.17697306,-1.663218499,-63.12032561,-9.537926138,-35.07218782,-28.31412623,21.60963244,3,-1312.123476,-4.444048506,-7400.653539,-199.2810491,-3378.855455,-2459.071514,2746.363929,301,-36.22324497,-2.1080912,-86.02705121,-14.11669399,-58.1279232,-39.32060091,30.21525869,14,-0.7456423,0.965647083,0.456256237,0.700208139,0.617863993,0.398866631,0.595516732,4
306,2.723619938,0.289861718,0.015497637,0.000253059,0.1,3,500,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-32.17697306,-1.663218499,-63.12077605,-9.537926138,-35.07218782,-28.31421631,21.60977754,4,-1312.123476,-4.444048506,-7400.659257,-199.2810491,-3378.855455,-2459.072657,2746.365987,302,-36.22324497,-2.1080912,-86.02708444,-14.11669399,-58.1279232,-39.32060756,30.21526896,15,-0.7456423,0.965647083,0.456255817,0.700208139,0.617863993,0.398866546,0.595516724,5
307,2.469852495,0.235171049,0.019361639,0.006357481,0.1,3,600,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600}",-32.17697306,-1.663218499,-63.12122649,-9.537926138,-35.07218782,-28.3143064,21.60992264,5,-1312.123476,-4.444048506,-7400.664978,-199.2810491,-3378.855455,-2459.073801,2746.368045,303,-36.22324497,-2.1080912,-86.02711769,-14.11669399,-58.1279232,-39.32061421,30.21527924,16,-0.7456423,0.965647083,0.456255397,0.700208139,0.617863993,0.398866462,0.595516716,6
308,2.731041241,0.071981781,0.019621229,0.006053888,0.1,3,700,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 700}",-32.17697306,-1.663218499,-63.12167693,-9.537926138,-35.07218782,-28.31439649,21.61006775,6,-1312.123476,-4.444048506,-7400.670701,-199.2810491,-3378.855455,-2459.074946,2746.370105,304,-36.22324497,-2.1080912,-86.02715095,-14.11669399,-58.1279232,-39.32062086,30.21528953,17,-0.7456423,0.965647083,0.456254976,0.700208139,0.617863993,0.398866378,0.595516708,7
309,3.877647161,0.230309593,0.024997282,0.007654675,0.1,3,1000,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",-32.17697306,-1.663218499,-63.12302825,-9.537926138,-35.07218782,-28.31466675,21.61050306,7,-1312.123476,-4.444048506,-7400.687887,-199.2810491,-3378.855455,-2459.078383,2746.37629,305,-36.22324497,-2.1080912,-86.02725084,-14.11669399,-58.1279232,-39.32064084,30.21532041,18,-0.7456423,0.965647083,0.456253714,0.700208139,0.617863993,0.398866126,0.595516683,8
301,0.213371849,0.008488194,0.003124619,0.006249237,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",-32.71108603,-2.442410032,-63.89691319,-8.636061879,-35.90291515,-28.71787726,21.90349078,18,-1344.970294,-7.335177858,-7614.786713,-175.6696195,-3294.6701,-2487.486381,2819.28161,316,-36.67383664,-2.708353348,-87.26274528,-13.25404163,-57.39921689,-39.45963876,30.50284069,19,-0.789341536,0.943298378,0.44052336,0.735728398,0.627385045,0.391518729,0.6124388,9
203,0.800105333,0.009943329,0.012498379,0.006249189,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",-33.23404594,-1.672187616,-62.26263949,-9.929642978,-35.26427433,-28.47255807,21.31979519,15,-1404.618836,-4.463553846,-7404.296564,-201.9667749,-3371.205227,-2477.310191,2739.23595,313,-37.47824483,-2.112712438,-86.04822232,-14.2115015,-58.0620808,-39.58255238,30.17501845,20,-0.868697649,0.965496304,0.455988576,0.696167822,0.618729206,0.373536852,0.642583982,19
204,1.254557657,0.085290247,0.011993933,0.006206863,0.05,3,300,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",-33.23204927,-1.666607811,-62.25752727,-9.93588942,-35.25857047,-28.47012885,21.31803879,9,-1404.506604,-4.457935392,-7402.833798,-202.147667,-3371.79781,-2477.148763,2738.728212,307,-37.47674751,-2.111382341,-86.03972221,-14.21786436,-58.06718359,-39.58258,30.17230722,21,-0.868548336,0.965539736,0.456096049,0.695895694,0.618662187,0.373529066,0.642504584,20
205,1.644040537,0.138555184,0.015624046,6.74E-07,0.05,3,400,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 400}",-33.23204927,-1.666607811,-62.25797771,-9.93588942,-35.25857047,-28.47021894,21.31818157,10,-1404.506604,-4.457935392,-7402.833946,-202.147667,-3371.79781,-2477.148792,2738.728265,308,-37.47674751,-2.111382341,-86.03972307,-14.21786436,-58.06718359,-39.58258017,30.17230749,22,-0.868548336,0.965539736,0.456096038,0.695895694,0.618662187,0.373529064,0.642504584,21
206,1.959978151,0.025855946,0.015888309,0.00052805,0.05,3,500,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",-33.23204927,-1.666607811,-62.25842815,-9.93588942,-35.25857047,-28.47030902,21.31832436,11,-1404.506604,-4.457935392,-7402.834098,-202.147667,-3371.79781,-2477.148823,2738.72832,309,-37.47674751,-2.111382341,-86.03972395,-14.21786436,-58.06718359,-39.58258035,30.17230776,23,-0.868548336,0.965539736,0.456096026,0.695895694,0.618662187,0.373529061,0.642504583,22
207,2.517799377,0.353883918,0.020094347,0.006079193,0.05,3,600,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 600}",-33.23204927,-1.666607811,-62.25887859,-9.93588942,-35.25857047,-28.47039911,21.31846714,12,-1404.506604,-4.457935392,-7402.834252,-202.147667,-3371.79781,-2477.148854,2738.728375,310,-37.47674751,-2.111382341,-86.03972485,-14.21786436,-58.06718359,-39.58258053,30.17230804,24,-0.868548336,0.965539736,0.456096015,0.695895694,0.618662187,0.373529059,0.642504583,23
208,2.79291482,0.158661894,0.019815874,0.006078155,0.05,3,700,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 700}",-33.23204927,-1.666607811,-62.25932903,-9.93588942,-35.25857047,-28.4704892,21.31860992,13,-1404.506604,-4.457935392,-7402.834409,-202.147667,-3371.79781,-2477.148885,2738.728432,311,-37.47674751,-2.111382341,-86.03972576,-14.21786436,-58.06718359,-39.58258071,30.17230832,25,-0.868548336,0.965539736,0.456096004,0.695895694,0.618662187,0.373529057,0.642504583,24
209,3.928442955,0.196091634,0.024135876,0.007126323,0.05,3,1000,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 1000}",-33.23204927,-1.666607811,-62.26068035,-9.93588942,-35.25857047,-28.47075946,21.31903828,14,-1404.506604,-4.457935392,-7402.834897,-202.147667,-3371.79781,-2477.148983,2738.728607,312,-37.47674751,-2.111382341,-86.0397286,-14.21786436,-58.06718359,-39.58258128,30.17230919,26,-0.868548336,0.965539736,0.456095968,0.695895694,0.618662187,0.37352905,0.642504582,25
315,1.79099679,0.073975718,0.012499142,0.006249571,0.1,4,400,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 400}",-31.74497778,-4.062855162,-62.16826927,-9.80205907,-39.07494376,-29.37062101,20.97097427,32,-1460.432555,-27.67635098,-6549.709676,-199.5067428,-3556.95938,-2358.856941,2445.528928,165,-38.21560617,-5.260831776,-80.93027663,-14.12468558,-59.64024966,-39.63432996,28.07092498,27,-0.942951933,0.786059176,0.518777124,0.699868613,0.597721101,0.331894816,0.64381563,39
316,2.236732054,0.218210357,0.015624666,3.57E-07,0.1,4,500,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 500}",-31.74497778,-4.062855162,-62.16826927,-9.80205907,-39.07494376,-29.37062101,20.97097427,32,-1460.432555,-27.67635098,-6549.709676,-199.5067428,-3556.95938,-2358.856941,2445.528928,165,-38.21560617,-5.260831776,-80.93027663,-14.12468558,-59.64024966,-39.63432996,28.07092498,27,-0.942951933,0.786059176,0.518777124,0.699868613,0.597721101,0.331894816,0.64381563,39
317,2.640340805,0.128291701,0.016497183,0.001745558,0.1,4,600,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 600}",-31.74497778,-4.062855162,-62.16826927,-9.80205907,-39.07494376,-29.37062101,20.97097427,32,-1460.432555,-27.67635098,-6549.709676,-199.5067428,-3556.95938,-2358.856941,2445.528928,165,-38.21560617,-5.260831776,-80.93027663,-14.12468558,-59.64024966,-39.63432996,28.07092498,27,-0.942951933,0.786059176,0.518777124,0.699868613,0.597721101,0.331894816,0.64381563,39
318,3.041762257,0.178521097,0.015624475,5.72E-07,0.1,4,700,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 700}",-31.74497778,-4.062855162,-62.16826927,-9.80205907,-39.07494376,-29.37062101,20.97097427,32,-1460.432555,-27.67635098,-6549.709676,-199.5067428,-3556.95938,-2358.856941,2445.528928,165,-38.21560617,-5.260831776,-80.93027663,-14.12468558,-59.64024966,-39.63432996,28.07092498,27,-0.942951933,0.786059176,0.518777124,0.699868613,0.597721101,0.331894816,0.64381563,39
313,0.948663473,0.024037572,0.009374189,0.007653994,0.1,4,200,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}",-31.74497778,-4.062855162,-62.16826927,-9.80205907,-39.07494376,-29.37062101,20.97097427,32,-1460.432555,-27.67635098,-6549.709676,-199.5067428,-3556.95938,-2358.856941,2445.528928,165,-38.21560617,-5.260831776,-80.93027663,-14.12468558,-59.64024966,-39.63432996,28.07092498,27,-0.942951933,0.786059176,0.518777124,0.699868613,0.597721101,0.331894816,0.64381563,39
319,4.273410654,0.212615924,0.027941895,0.009203423,0.1,4,1000,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 1000}",-31.74497778,-4.062855162,-62.16826927,-9.80205907,-39.07494376,-29.37062101,20.97097427,32,-1460.432555,-27.67635098,-6549.709676,-199.5067428,-3556.95938,-2358.856941,2445.528928,165,-38.21560617,-5.260831776,-80.93027663,-14.12468558,-59.64024966,-39.63432996,28.07092498,27,-0.942951933,0.786059176,0.518777124,0.699868613,0.597721101,0.331894816,0.64381563,39
314,1.434255934,0.154542089,0.01054225,0.008868036,0.1,4,300,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",-31.74497778,-4.062855162,-62.16826927,-9.80205907,-39.07494376,-29.37062101,20.97097427,32,-1460.432555,-27.67635098,-6549.709676,-199.5067428,-3556.95938,-2358.856941,2445.528928,165,-38.21560617,-5.260831776,-80.93027663,-14.12468558,-59.64024966,-39.63432996,28.07092498,27,-0.942951933,0.786059176,0.518777124,0.699868613,0.597721101,0.331894816,0.64381563,39
312,0.511413956,0.006464537,0.009374285,0.007654071,0.1,4,100,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",-31.74933157,-4.070294786,-62.17186866,-9.797297002,-39.07861518,-29.37348144,20.97163199,39,-1460.668729,-27.73609006,-6550.568582,-199.372997,-3556.481592,-2358.965598,2445.771396,172,-38.21869606,-5.266506438,-80.93558292,-14.11995032,-59.63624394,-39.63539594,28.07135527,34,-0.943266137,0.785597387,0.518714018,0.700069816,0.597775137,0.331778044,0.64389875,46
216,2.358707142,0.150359111,0.018749046,0.006249404,0.05,4,500,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 500}",-31.66066551,-4.153092473,-62.21073863,-9.869594303,-39.09255764,-29.39732971,20.94967256,40,-1449.711468,-28.65820771,-6560.954368,-200.1309,-3557.463515,-2359.383692,2449.928524,174,-38.07507673,-5.353336129,-80.99971832,-14.14676288,-59.64447598,-39.64387401,28.06682998,35,-0.928688654,0.77846933,0.517950949,0.698929652,0.597664085,0.332865072,0.636939484,32
215,1.939304781,0.173551651,0.018748713,0.006249332,0.05,4,400,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 400}",-31.66066551,-4.153092473,-62.21073863,-9.869594303,-39.09255764,-29.39732971,20.94967256,40,-1449.711468,-28.65820771,-6560.954368,-200.1309,-3557.463515,-2359.383692,2449.928524,174,-38.07507673,-5.353336129,-80.99971832,-14.14676288,-59.64447598,-39.64387401,28.06682998,35,-0.928688654,0.77846933,0.517950949,0.698929652,0.597664085,0.332865072,0.636939484,32
218,3.184723902,0.178384292,0.020220804,0.006206814,0.05,4,700,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 700}",-31.66066551,-4.153092473,-62.21073863,-9.869594303,-39.09255764,-29.39732971,20.94967256,40,-1449.711468,-28.65820771,-6560.954368,-200.1309,-3557.463515,-2359.383692,2449.928524,174,-38.07507673,-5.353336129,-80.99971832,-14.14676288,-59.64447598,-39.64387401,28.06682998,35,-0.928688654,0.77846933,0.517950949,0.698929652,0.597664085,0.332865072,0.636939484,32
219,4.357545519,0.384431857,0.024997234,0.007654539,0.05,4,1000,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 1000}",-31.66066551,-4.153092473,-62.21073863,-9.869594303,-39.09255764,-29.39732971,20.94967256,40,-1449.711468,-28.65820771,-6560.954368,-200.1309,-3557.463515,-2359.383692,2449.928524,174,-38.07507673,-5.353336129,-80.99971832,-14.14676288,-59.64447598,-39.64387401,28.06682998,35,-0.928688654,0.77846933,0.517950949,0.698929652,0.597664085,0.332865072,0.636939484,32
214,1.476680851,0.007322507,0.012771797,0.006407796,0.05,4,300,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300}",-31.66066551,-4.153092473,-62.21073863,-9.869594303,-39.09255764,-29.39732971,20.94967256,40,-1449.711468,-28.65820771,-6560.954368,-200.1309,-3557.463515,-2359.383692,2449.928524,174,-38.07507673,-5.353336129,-80.99971832,-14.14676288,-59.64447598,-39.64387401,28.06682998,35,-0.928688654,0.77846933,0.517950949,0.698929652,0.597664085,0.332865072,0.636939484,32
217,2.751955557,0.116423668,0.021873426,0.007653994,0.05,4,600,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 600}",-31.66066551,-4.153092473,-62.21073863,-9.869594303,-39.09255764,-29.39732971,20.94967256,40,-1449.711468,-28.65820771,-6560.954368,-200.1309,-3557.463515,-2359.383692,2449.928524,174,-38.07507673,-5.353336129,-80.99971832,-14.14676288,-59.64447598,-39.64387401,28.06682998,35,-0.928688654,0.77846933,0.517950949,0.698929652,0.597664085,0.332865072,0.636939484,32
213,1.01319766,0.015406396,0.009374332,0.00765411,0.05,4,200,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}",-31.66633007,-4.162751368,-62.21553883,-9.863356434,-39.09726915,-29.40104917,20.95057052,47,-1450.015337,-28.7376127,-6562.099765,-199.9548526,-3556.839689,-2359.529451,2450.253783,180,-38.07906691,-5.360747402,-81.00678839,-14.14053933,-59.63924621,-39.64527765,28.06744398,41,-0.92909292,0.777855522,0.517866794,0.699194492,0.597734637,0.332711705,0.63704523,38
119,5.168411779,0.151446371,0.032785654,0.003089073,0.01,4,1000,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 1000}",-31.69955108,-4.186001982,-62.19411933,-9.826722244,-39.09593253,-29.40046543,20.9457022,46,-1454.059319,-28.99999903,-6556.404035,-199.5845049,-3556.615601,-2359.132692,2447.994142,173,-38.13212974,-5.385164717,-80.97162488,-14.12743802,-59.63736749,-39.65074497,28.05264899,42,-0.934473012,0.775827251,0.518285273,0.69975163,0.597759981,0.331430225,0.638984621,47
